nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
82,0.21563058,-0.76306826,-0.22957315,0.21563058,-0.76306826,-0.22957315,0.18913391,-0.8148773,-0.21244822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0.23719516,-0.6741609,-0.18070018,0.23719516,-0.6741609,-0.18070018,0.20772956,-0.6921061,-0.18590996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0.23647216,-0.67253214,-0.18074748,0.23647216,-0.67253214,-0.18074748,0.20104598,-0.5927235,-0.18306375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0.23597725,-0.6712949,-0.18030955,0.23597725,-0.6712949,-0.18030955,0.21172705,-0.6106715,-0.15885209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0.24587731,-0.6408902,-0.18272595,0.24587731,-0.6408902,-0.18272595,0.19970396,-0.64134187,-0.1611441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0.24510002,-0.64044905,-0.18209414,0.24510002,-0.64044905,-0.18209414,0.20701346,-0.61883396,-0.15113607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0.25360107,-0.6106088,-0.17006086,0.25360107,-0.61060876,-0.17006086,0.21449462,-0.5776786,-0.1428144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0.25315437,-0.6095374,-0.16914578,0.25315437,-0.6095374,-0.16914578,0.23126513,-0.55704314,-0.12430714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0.25416377,-0.6055596,-0.17524959,0.25416377,-0.6055596,-0.17524959,0.21931449,-0.5768946,-0.13197044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0.25262234,-0.60560185,-0.17532569,0.25262234,-0.60560185,-0.17532569,0.17709222,-0.6076721,-0.179055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0.24997823,-0.6048055,-0.17430109,0.24997823,-0.6048055,-0.17430109,0.20114839,-0.60651094,-0.15003984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0.24865946,-0.6047612,-0.17418836,0.24865946,-0.6047612,-0.17418836,0.18404023,-0.6025905,-0.16866449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0.24205092,-0.6127138,-0.18387371,0.24205092,-0.6127138,-0.18387371,0.17616075,-0.61404467,-0.1764973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0.24081933,-0.61297643,-0.1836075,0.24081935,-0.61297643,-0.18360752,0.18047294,-0.6258456,-0.17381354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
